datestr,mega_region,marketplace,token_type,cb_1d_amt,cb_7d_amt,cb_14d_amt,cb_21d_amt,cb_28d_amt,dns_1d_amt,dns_7d_amt,dns_14d_amt,dns_21d_amt,dns_28d_amt
2018-09-12,India SA,personal_transport,\N,0.0,0.0,0.0,0.0,0.0,1.1677175638192054,1.1677175638192054,1.1677175638192054,0.6568411296483031,0.6568411296483031
2018-08-25,US & Canada,personal_transport,venmo,0.0,0.0,0.0,0.0,0.0,42.07,14.32,5.0,5.0,5.0
2018-08-09,EMEA,personal_transport,google_pay,0.0,0.0,0.0,0.0,0.0,167.51198480372685,160.07168779458982,141.49844041437404,141.49844041437404,141.49844041437404
2018-08-15,EMEA,personal_transport,cash,0.0,0.0,0.0,0.0,0.0,28222.79338200129,21843.194486581975,18682.213281871238,16977.825540163187,16008.813476899844
2018-08-07,US & Canada,personal_transport,cbord,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-11,EMEA,personal_transport,zaakpay,0.0,0.0,0.0,0.0,0.0,581.9563406420605,493.2948864434347,493.2948864434347,485.63351888932624,413.74435924426444
2018-09-13,LatAm,personal_transport,google_pay,0.0,0.0,0.0,0.0,0.0,62.918077905057785,46.813369667410484,46.813369667410484,46.813369667410484,46.813369667410484
2018-08-17,US & Canada,personal_transport,apple_pay,0.0,0.0,0.0,0.0,0.0,14488.433818550082,6576.462917797225,5667.086949975159,5133.086949975159,4871.29694997516
2018-08-29,EMEA,personal_transport,android_pay,0.0,0.0,0.0,0.0,0.0,1048.5275298177278,550.9585379803784,263.10735879751616,231.1607663732571,216.62576906926466
2018-08-23,US & Canada,personal_transport,google_pay,0.0,0.0,98.14000000000001,239.95348921549916,327.80348921549916,18681.437080532927,18470.487080532926,18432.207080532924,18420.407080532925,18420.407080532925
2018-08-12,India SA,personal_transport,google_pay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-07,LatAm,personal_transport,apple_pay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-14,LatAm,personal_transport,apple_pay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-19,EMEA,personal_transport,paytm,0.0,0.0,0.0,0.0,0.0,8.18605233249205,8.18605233249205,8.18605233249205,6.250934374738138,6.250934374738138
2018-08-19,US & Canada,personal_transport,ucharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-24,US & Canada,personal_transport,apple_pay,0.0,0.0,0.0,0.0,0.0,14779.058533886771,7601.955101798244,6414.88143131015,6183.331431310149,5896.201431310149
2018-08-09,LatAm,personal_transport,android_pay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-30,US & Canada,personal_transport,google_pay,0.0,0.0,10.21,136.73,148.02999999999997,20748.001339891853,20596.60133989185,20596.60133989185,20579.651339891847,20562.371339891848
2018-09-20,LatAm,personal_transport,google_pay,0.0,0.0,6.678910894315882,6.678910894315882,6.678910894315882,40.11629898820512,26.24670002825198,4.787180907242703,4.787180907242703,0.0
2018-08-02,EMEA,personal_transport,stored_value,0.0,0.0,0.0,0.0,0.0,145.07470378754314,110.32297620798778,110.32297620798778,110.32297620798778,110.32297620798778
2018-10-02,EMEA,agora,zaakpay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-21,US & Canada,personal_transport,facebook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09,APACX,personal_transport,alipay2,0.0,0.0,0.0,0.0,0.0,74.24853001879238,0.0,0.0,0.0,0.0
2018-09-21,EMEA,personal_transport,derivative,0.0,0.0,0.0,0.0,0.0,266.7009038653992,265.52616084043586,265.52616084043586,265.52616084043586,0.0
2018-10-01,US & Canada,personal_transport,alipay2,0.0,0.0,274.27,274.27,274.27,281.5407296422022,227.62,0.0,0.0,0.0
2018-08-04,US & Canada,personal_transport,derivative,0.0,42.03,54.29,54.29,54.29,38.19,34.19,29.189999999999998,29.189999999999998,29.189999999999998
2018-09-18,India SA,personal_transport,paytm,0.0,0.0,0.0,0.0,0.0,3635.3352299670137,2245.2083150523085,1842.277973818255,1575.3836311941723,0.0
2018-08-24,US & Canada,personal_transport,google_pay,0.0,0.0,21.560000000000002,21.560000000000002,58.88999999999999,18658.853796250147,18552.203796250145,18547.053796250148,18528.473796250146,18472.093796250145
2018-10-01,India SA,agora,\N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-20,LatAm,personal_transport,cash,0.0,0.0,0.0,0.0,0.0,50398.44145007881,33653.04725803111,26939.490574738542,23377.27937486278,0.0
2018-09-08,LatAm,personal_transport,apple_pay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-12,EMEA,personal_transport,zaakpay,0.0,0.0,0.0,9.41685668386285,9.41685668386285,580.0425107492924,300.25137463202134,278.91670745665726,255.91048442006547,255.91048442006547
